,place,latitude,longitude,net,depthError,depth,type,Territory
0,"20 km NNE of Yerington, Nevada",39.162,-119.0797,nn,25.2,0.9,earthquake,Nevada
1,"17 km NE of Yerington, Nevada",39.1027,-119.025,nn,5.2,3.6,earthquake,Nevada
2,"16 km NNE of Yerington, Nevada",39.1124,-119.0673,nn,0.9,9.3,earthquake,Nevada
3,"8 km WNW of Cobb, CA",38.833831787109,-122.8125,nc,1.39999998,2.1199998855591,earthquake,CA
4,"55 km S of Whites City, New Mexico",31.676,-104.422,tx,1.320233464241,4.5864,earthquake,New Mexico
5,"31 km SSE of Mina, Nevada",38.1325,-117.9706,nn,0.5,5.2,earthquake,Nevada
6,"56 km S of Whites City, New Mexico",31.67,-104.427,tx,1.3784426450729,4.3027,earthquake,New Mexico
7,"20 km SE of Pāhala, Hawaii",19.05316734314,-155.35884094238,hv,0.769999981,31.170000076294,earthquake,Hawaii
8,"14 km NW of Four Mile Road, Alaska",64.7101,-149.3072,ak,0.5,26.2,earthquake,Alaska
9,"63 km WNW of Anchor Point, Alaska",60.0119,-152.8625,ak,0.5,103.0,earthquake,Alaska
10,"15 km SSW of Valdez, Alaska",61.0159,-146.5011,ak,0.2,16.0,earthquake,Alaska
11,"23 km SSW of Manley Hot Springs, Alaska",64.8166,-150.8786,ak,0.2,19.1,earthquake,Alaska
12,"3 km NNW of The Geysers, CA",38.799835205078,-122.77317047119,nc,0.469999999,1.2300000190735,earthquake,CA
13,"31 km WNW of Furnace Creek, California",36.6025,-117.15,nn,18.1,3.9,earthquake,California
14,"62 km WNW of Petrolia, CA",40.388832092285,-125.01650238037,nc,11.2200003,0.93000000715256,earthquake,CA
15,"51 km ESE of Beatty, Nevada",36.6694,-116.2622,nn,0.6,7.0,earthquake,Nevada
16,"2 km S of Santo Domingo, Puerto Rico",18.043166666667,-66.7565,pr,1.07,16.07,earthquake,Puerto Rico
17,"91 km SSW of Adak, Alaska",51.1056,-177.0888,us,7.251,40.85,earthquake,Alaska
18,"51 km ESE of Beatty, Nevada",36.6629,-116.2718,nn,0.4,3.7,earthquake,Nevada
19,"19 km WNW of Volcano, Hawaii",19.489833831787,-155.41732788086,hv,0.629999995,6.6799998283386,earthquake,Hawaii
20,"20 km NNE of Yerington, Nevada",39.1414,-119.045,nn,2.0,16.0,earthquake,Nevada
21,"15 km NE of Yerington, Nevada",39.095,-119.05,nn,1.6,4.1,earthquake,Nevada
22,"8 km WNW of Cobb, CA",38.835498809815,-122.81600189209,nc,0.540000021,1.8300000429153,earthquake,CA
23,"7 km N of Jewell, Kansas",39.7343,-98.1412,us,8.528,11.162,earthquake,Kansas
24,"22 km SW of New Idria, CA",36.244499206543,-120.79582977295,nc,0.449999988,6.289999961853,earthquake,CA
25,"7 km WNW of Cobb, CA",38.835334777832,-122.79683685303,nc,0.730000019,2.2799999713898,earthquake,CA
26,"22 km NNE of Yerington, Nevada",39.1714,-119.0488,nn,2.3,4.2,earthquake,Nevada
27,"47 km WNW of Nikiski, Alaska",60.8317,-152.1026,ak,1.4,87.4,earthquake,Alaska
28,"31 km SE of Mina, Nevada",38.1807,-117.8744,nn,0.7,7.3,earthquake,Nevada
29,"5 km WNW of Cobb, CA",38.838001251221,-122.78233337402,nc,0.419999987,1.7599999904633,earthquake,CA
30,"3 km NW of The Geysers, CA",38.794834136963,-122.77983093262,nc,1.05999994,2.420000076294,earthquake,CA
31,"20 km NE of Olancha, CA",36.4295,-117.8806667,ci,1.16,6.98,earthquake,CA
32,"10 km S of Girdwood, Alaska",60.8482,-149.1502,ak,0.3,26.1,earthquake,Alaska
33,"11 km ENE of Borrego Springs, CA",33.2885,-116.2668333,ci,0.6,6.79,earthquake,CA
34,"50 km NW of Toyah, Texas",31.631,-104.172,tx,1.1804918050766,4.6004,earthquake,Texas
35,"7 km NNW of The Geysers, CA",38.825832366943,-122.79916381836,nc,0.49000001,2.5699999332428,earthquake,CA
36,"21 km NNE of Yerington, Nevada",39.1591,-119.0417,nn,7.2,3.2,earthquake,Nevada
37,"9 km NNW of The Geysers, CA",38.837665557861,-122.82883453369,nc,0.460000008,0.72000002861023,earthquake,CA
38,"53 km SSE of Old Harbor, Alaska",56.7781,-152.9,ak,0.6,21.8,earthquake,Alaska
39,"15 km NNE of Yerington, Nevada",39.1007,-119.0676,nn,2.7,16.0,earthquake,Nevada
40,"36 km NW of Mentasta Lake, Alaska",63.1048,-144.3595,ak,0.4,9.4,earthquake,Alaska
41,"8 km WNW of Cobb, CA",38.838500976562,-122.80766296387,nc,1.24000001,2.1600000858307,earthquake,CA
42,"60 km W of Petrolia, CA",40.303833007812,-124.98783111572,nc,6.32000017,3.7999999523163,earthquake,CA
43,"1 km E of Inglewood, CA",33.956,-118.3358333,ci,0.36,5.74,earthquake,CA
44,"22 km NNE of Yerington, Nevada",39.1596,-119.0367,nn,0.8,4.9,earthquake,Nevada
45,"23 km NNE of Yerington, Nevada",39.1772,-119.0351,nn,17.7,0.0,earthquake,Nevada
46,"22 km NNE of Yerington, Nevada",39.1652,-119.0336,nn,0.6,4.7,earthquake,Nevada
47,"24 km NNE of Yerington, Nevada",39.1735,-119.0211,nn,2.1,5.5,earthquake,Nevada
48,"23 km NNE of Yerington, Nevada",39.1762,-119.0437,nn,16.9,0.0,earthquake,Nevada
49,"55 km S of Whites City, New Mexico",31.681,-104.421,tx,2.524505853653,5.6228,earthquake,New Mexico
50,"73 km ESE of Denali National Park, Alaska",63.2352,-150.4154,ak,1.6,110.0,earthquake,Alaska
51,"2 km NW of The Geysers, CA",38.791831970215,-122.77666473389,nc,0.400000006,1.6599999666214,earthquake,CA
52,"14 km SSE of Waynoka, Oklahoma",36.46847153,-98.80703735,ok,1.399495566,1.65982008,earthquake,Oklahoma
53,"8 km NNW of The Geysers, CA",38.830001831055,-122.81666564941,nc,0.680000007,1.6699999570847,earthquake,CA
54,"9 km NW of The Geysers, CA",38.823001861572,-122.8450012207,nc,0.600000024,2.0699999332428,earthquake,CA
55,"47 km NE of Port-Olry, Vanuatu",-14.6933,167.3345,us,6.231,158.3,earthquake,Vanuatu
56,"5 km W of Coupeville, Washington",48.2185,-122.7655,uw,0.58,22.07,earthquake,Washington
57,"20 km W of Petrolia, CA",40.320499420166,-124.52449798584,nc,0.959999979,14.85000038147,earthquake,CA
58,"38 km NE of Amboy, Washington",46.196166666667,-122.17233333333,uw,14.98,-1.81,earthquake,Washington
59,"4 km NNW of The Geysers, CA",38.808166503906,-122.78099822998,nc,0.850000024,1.0900000333786,earthquake,CA
60,"18 km S of Lamboglia, Puerto Rico",17.8155,-65.9765,pr,0.66,4.97,earthquake,Puerto Rico
61,"64 km S of Whites City, New Mexico",31.599,-104.455,tx,6.814603805542,8.2347,earthquake,New Mexico
62,"7 km S of Onalaska, Washington",46.5065,-122.70583333333,uw,0.47,20.33,earthquake,Washington
63,"55 km S of Whites City, New Mexico",31.678,-104.36,tx,1.4522191286087,4.3331,earthquake,New Mexico
64,"7 km NE of Cabazon, CA",33.9688333,-116.7365,ci,0.34,17.68,earthquake,CA
65,"23 km NNE of Yerington, Nevada",39.1694,-119.0363,nn,1.0,8.1,earthquake,Nevada
66,"23 km NNE of Yerington, Nevada",39.1714,-119.0325,nn,0.8,7.6,earthquake,Nevada
67,"15 km N of Ocotillo, CA",32.8696667,-115.9926667,ci,0.52,8.18,earthquake,CA
68,"4 km SE of Ontario, CA",34.0211667,-117.5973333,ci,0.23,3.43,earthquake,CA
69,"56 km NNE of Chenega, Alaska",60.5246,-147.5796,ak,0.2,14.6,earthquake,Alaska
70,"3 km SSW of Cobb, CA",38.799835205078,-122.73049926758,nc,0.529999971,1.3200000524521,earthquake,CA
71,"8 km NNW of The Geysers, CA",38.831665039062,-122.81833648682,nc,1.04999995,1.8999999761581,earthquake,CA
72,"21 km NE of Yerington, Nevada",39.0966,-118.9661,nn,0.7,9.4,earthquake,Nevada
73,"27 km WSW of Cantwell, Alaska",63.3242,-149.4792,ak,0.8,26.6,earthquake,Alaska
74,"8 km NW of The Geysers, CA",38.806667327881,-122.84300231934,nc,1.09000003,11.359999656677,earthquake,CA
75,"3 km ENE of El Monte, CA",34.0833333,-117.9996667,ci,0.51,15.67,earthquake,CA
76,"84 km W of San Antonio de los Cobres, Argentina",-24.2417,-67.1471,us,5.802,169.731,earthquake,Argentina
77,"33 km WSW of Ambunti, Papua New Guinea",-4.361,142.5497,us,10.166,78.733,earthquake,Papua New Guinea
78,"54 km SE of Pope-Vannoy Landing, Alaska",59.2767,-153.7019,ak,1.4,95.0,earthquake,Alaska
79,"7 km ENE of Fox, Alaska",64.9769,-147.4619,ak,0.6,0.7,earthquake,Alaska
80,"59 km S of Whites City, New Mexico",31.642,-104.477,tx,1.5310631990433,3.0927,earthquake,New Mexico
81,"24 km WNW of Volcano, Hawaii",19.50333404541,-155.45883178711,hv,2.24000001,1.4199999570847,earthquake,Hawaii
82,"22 km NNE of Yerington, Nevada",39.169,-119.0439,nn,1.1,9.1,earthquake,Nevada
83,"9 km SSE of Bombay Beach, CA",33.2775,-115.6993333,ci,0.32,3.59,earthquake,CA
84,"11 km WSW of Akutan, Alaska",54.1125,-165.94883333333,av,1.0,3.6,earthquake,Alaska
85,"7 km NW of The Geysers, CA",38.808334350586,-122.82066345215,nc,0.449999988,2.9900000095367,earthquake,CA
86,"55 km S of Whites City, New Mexico",31.671,-104.394,tx,2.1049370765686,6.5947,earthquake,New Mexico
87,"122 km SE of Kuqa, China",41.0178,84.0571,us,7.854,36.984,earthquake,China
88,"86 km NNW of Karluk, Alaska",58.2925,-154.97566666667,av,0.98,2.88,earthquake,Alaska
89,"7 km SSW of Mojave, CA",34.9916667,-118.1891667,ci,31.61,-0.8,quarry blast,CA
90,"57 km SSW of Skwentna, Alaska",61.5278,-151.8793,ak,0.3,13.5,earthquake,Alaska
91,"47 km SSE of Denali National Park, Alaska",63.1258,-151.5265,ak,0.3,0.0,earthquake,Alaska
92,"17 km W of Petrolia, CA",40.300498962402,-124.47699737549,nc,0.720000029,17.790000915527,earthquake,CA
93,"68 km SE of Pedro Bay, Alaska",59.4164,-153.1298,ak,0.7,76.8,earthquake,Alaska
94,"85 km NW of Karluk, Alaska",58.169333333333,-155.35683333333,av,0.48,2.29,earthquake,Alaska
95,"24 km NW of Ninilchik, Alaska",60.1968,-151.9923,ak,0.9,33.4,earthquake,Alaska
96,"30 km ESE of Minto, Alaska",65.0103,-148.8027,ak,0.3,18.1,earthquake,Alaska
97,"68 km NE of Nikolski, Alaska",53.420666666667,-168.22783333333,av,0.79,-0.9,earthquake,Alaska
98,"15 km S of Princeton, Canada",49.317666666667,-120.552,uw,31.61,-0.24,explosion,Canada
99,"17 km NE of Yerington, Nevada",39.0947,-119.0244,nn,0.8,10.5,earthquake,Nevada
100,"37 km NNE of Amboy, Washington",46.201666666667,-122.19116666667,uw,0.27,6.9,earthquake,Washington
